classification,size,SPIRAL-NN-acc (Nearest Neighbor),SPIRAL-LR-acc (Logistic Regression),SPIRAL-RF-acc (Random Forest),SPIRAL-XT-acc (Extra Tree),SPIRAL-best-acc,NN-DTW-acc,,clustering,kshape-time,kshape-NMI,kshape-ri,kmeans-SPIRAL-time,kmeans-SPIRAL-NMI,kmeans-SPIRAL-ri
NonInvasiveFatalECG_Thorax2,3765,0.869,0.844,0.903,0.902,0.903,0.871,,,5158.621,0.706,0.447,1.503,0.710,0.404
OliveOil,60,0.900,0.400,0.833,0.867,0.900,0.867,,,9.172,0.557,0.563,0.011,0.669,0.701
OSULeaf,442,0.500,0.574,0.508,0.529,0.574,0.612,,,72.304,0.312,0.222,0.090,0.288,0.177
PhalangesOutlinesCorrect,2658,0.756,0.691,0.768,0.781,0.781,0.761,,,68.081,0.000,-0.002,0.066,0.003,0.006
Phoneme,2110,0.259,0.235,0.302,0.299,0.302,0.227,,,4363.329,0.222,0.037,0.581,0.318,0.068
Plane,210,0.952,0.943,0.933,0.952,0.952,1,,,2.902,0.946,0.925,0.022,0.933,0.827
ProximalPhalanxOutlineAgeGroup,605,0.790,0.854,0.873,0.854,0.873,0.785,,,14.456,0.264,0.283,0.040,0.560,0.580
ProximalPhalanxOutlineCorrect,891,0.801,0.653,0.814,0.818,0.818,0.79,,,11.690,0.083,0.065,0.022,0.070,0.057
ProximalPhalanxTW,605,0.823,0.803,0.810,0.808,0.823,0.737,,,7.891,0.441,0.273,0.053,0.561,0.440
RefrigerationDevices,750,0.499,0.600,0.501,0.525,0.600,0.44,,,96.745,0.010,0.008,0.047,0.124,0.137
ScreenType,750,0.397,0.429,0.376,0.424,0.429,0.411,,,122.697,0.015,0.017,0.054,0.023,0.022
ShapeletSim,200,0.811,0.744,0.856,0.878,0.878,0.7,,,1.894,0.562,0.560,0.016,0.002,-0.003
ShapesAll,1200,0.773,0.673,0.783,0.797,0.797,0.802,,,1641.953,0.711,0.313,0.556,0.636,0.241
SmallKitchenAppliances,750,0.667,0.741,0.771,0.781,0.781,0.672,,,35.687,0.000,0.000,0.079,0.098,0.098
SonyAIBORobotSurface,621,0.875,0.928,0.725,0.789,0.928,0.695,,,2.908,0.235,0.311,0.047,0.707,0.770
SonyAIBORobotSurfaceII,980,0.857,0.794,0.824,0.807,0.857,0.859,,,4.309,0.071,0.116,0.024,0.210,0.291
StarLightCurves,9236,0.907,0.905,0.935,0.941,0.941,0.905,,,1159.592,0.572,0.478,0.147,0.607,0.531
Strawberry,983,0.936,0.806,0.904,0.945,0.945,0.938,,,46.365,0.002,0.007,0.056,0.109,-0.012
SwedishLeaf,1125,0.859,0.853,0.896,0.906,0.906,0.846,,,102.707,0.579,0.392,0.195,0.627,0.344
Symbols,1020,0.873,0.877,0.697,0.793,0.877,0.938,,,16.168,0.807,0.691,0.090,0.821,0.688
synthetic_control,600,0.990,0.973,0.987,0.990,0.990,0.983,,,2.715,0.775,0.715,0.040,0.810,0.687
ToeSegmentation1,268,0.737,0.667,0.658,0.728,0.737,0.75,,,4.219,0.000,-0.004,0.022,0.000,-0.004
ToeSegmentation2,166,0.900,0.715,0.862,0.823,0.900,0.908,,,9.392,0.198,0.258,0.014,0.014,-0.004
Trace,200,0.930,0.900,0.970,0.950,0.970,0.99,,,4.285,0.509,0.341,0.016,0.505,0.332
Two_Patterns,1162,0.998,0.939,0.972,0.987,0.998,0.998,,,4.899,0.002,0.002,0.073,0.064,0.070
TwoLeadECG,5000,0.767,0.740,0.844,0.898,0.898,0.868,,,224.869,0.230,0.166,0.469,0.000,0.000
UWaveGestureLibraryAll,4478,0.748,0.758,0.778,0.772,0.778,0.773,,,1407.229,0.691,0.639,0.419,0.669,0.572
uWaveGestureLibrary_X,4478,0.685,0.653,0.706,0.717,0.717,0.634,,,644.143,0.401,0.301,0.371,0.472,0.394
uWaveGestureLibrary_Y,4478,0.682,0.682,0.740,0.733,0.740,0.658,,,647.421,0.374,0.276,0.839,0.448,0.341
uWaveGestureLibrary_Z,4478,0.956,0.928,0.950,0.951,0.956,0.966,,,663.854,0.446,0.335,0.868,0.439,0.327
wafer,7164,0.995,0.924,0.993,0.996,0.996,0.995,,,31.320,0.000,-0.001,0.049,0.000,0.000
Wine,111,0.667,0.519,0.685,0.741,0.741,0.611,,,7.950,0.001,-0.007,0.018,0.000,-0.009
WordsSynonyms,905,0.704,0.589,0.632,0.665,0.704,0.748,,,401.959,0.418,0.197,0.244,0.484,0.197
Worms,258,0.370,0.431,0.530,0.459,0.530,0.414,,,150.739,0.106,0.074,0.026,0.134,0.129
WormsTwoClass,258,0.602,0.680,0.619,0.624,0.680,0.586,,,67.270,0.000,-0.003,0.019,0.002,-0.005
yoga,3300,0.847,0.591,0.748,0.792,0.847,0.845,,,175.434,0.001,0.002,0.127,0.001,-0.002
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
